snapshot_ts,outcome,price_bucket,bid_traded_size,ask_traded_size,total_traded_size,net_aggressor_buy
2026-03-26 18:28:15+00:00,DOWN,0.97,162.37,0.0,162.37,-162.37
2026-03-26 18:28:15+00:00,DOWN,0.98,0.0,87.97945,87.97945,87.97945
2026-03-26 18:28:15+00:00,UP,0.02,241.06,0.0,241.06,-241.06
2026-03-26 18:28:15+00:00,UP,0.03,0.0,1253.666661,1253.666661,1253.666661
2026-03-26 18:28:20+00:00,DOWN,0.96,6.25,25.0,31.25,18.75
2026-03-26 18:28:20+00:00,DOWN,0.97,141.19,72.190617,213.380617,-68.999383
2026-03-26 18:28:20+00:00,DOWN,0.98,65.53,1238.55095,1304.08095,1173.02095
2026-03-26 18:28:20+00:00,DOWN,0.99,0.0,1.0101,1.0101,1.0101
2026-03-26 18:28:20+00:00,UP,0.02,66.61,250.0,316.61,183.39
2026-03-26 18:28:20+00:00,UP,0.03,0.0,741.536662,741.536662,741.536662
2026-03-26 18:28:20+00:00,UP,0.04,0.0,100.0,100.0,100.0
2026-03-26 18:28:20+00:00,UP,0.05,0.0,3668.017141,3668.017141,3668.017141
2026-03-26 18:28:25+00:00,DOWN,0.96,76.7,0.0,76.7,-76.7
2026-03-26 18:28:25+00:00,DOWN,0.97,5.0,732.8038650000001,737.8038650000001,727.8038650000001
2026-03-26 18:28:25+00:00,DOWN,0.98,0.0,133.693803,133.693803,133.693803
2026-03-26 18:28:25+00:00,UP,0.03,0.0,68.333332,68.333332,68.333332
2026-03-26 18:28:25+00:00,UP,0.04,0.0,221.0,221.0,221.0
2026-03-26 18:28:30+00:00,DOWN,0.96,19.369999999999997,0.0,19.369999999999997,-19.369999999999997
2026-03-26 18:28:30+00:00,DOWN,0.97,60.190000000000005,528.242432,588.4324320000001,468.052432
2026-03-26 18:28:30+00:00,DOWN,0.98,0.0,376.80385,376.80385,376.80385
2026-03-26 18:28:30+00:00,UP,0.03,36.72,51.0,87.72,14.280000000000001
2026-03-26 18:28:30+00:00,UP,0.04,0.0,336.0125,336.0125,336.0125
2026-03-26 18:28:35+00:00,DOWN,0.97,56.09,216.854633,272.944633,160.764633
2026-03-26 18:28:35+00:00,DOWN,0.98,0.0,709.7129,709.7129,709.7129
2026-03-26 18:28:35+00:00,DOWN,0.99,0.0,1.0101,1.0101,1.0101
2026-03-26 18:28:35+00:00,UP,0.02,76.06,0.0,76.06,-76.06
2026-03-26 18:28:35+00:00,UP,0.03,0.0,771.999993,771.999993,771.999993
2026-03-26 18:28:35+00:00,UP,0.04,0.0,217.0,217.0,217.0
2026-03-26 18:28:40+00:00,DOWN,0.98,69.03,252.4677,321.4977,183.4377
2026-03-26 18:28:40+00:00,DOWN,0.99,0.0,476.3989,476.3989,476.3989
2026-03-26 18:28:40+00:00,UP,0.01,84.18,0.0,84.18,-84.18
2026-03-26 18:28:45+00:00,DOWN,0.98,38.370000000000005,0.0,38.370000000000005,-38.370000000000005
2026-03-26 18:28:45+00:00,DOWN,0.99,0.0,2468.0467,2468.0467,2468.0467
2026-03-26 18:28:45+00:00,UP,0.01,53.41,0.0,53.41,-53.41
2026-03-26 18:28:45+00:00,UP,0.02,0.0,700.0,700.0,700.0
2026-03-26 18:28:50+00:00,DOWN,0.98,17.53,0.0,17.53,-17.53
2026-03-26 18:28:50+00:00,DOWN,0.99,205.73,7725.627462,7931.357462,7519.897462000001
2026-03-26 18:28:50+00:00,UP,0.01,100.0,7.5,107.5,-92.5
2026-03-26 18:28:50+00:00,UP,0.02,0.0,7.5,7.5,7.5
2026-03-26 18:28:55+00:00,DOWN,0.99,1772.33,0.0,1772.33,-1772.33
2026-03-26 18:28:55+00:00,UP,0.01,0.0,400.0,400.0,400.0
2026-03-26 18:29:00+00:00,DOWN,0.99,22.67,0.0,22.67,-22.67
2026-03-26 18:29:00+00:00,UP,0.01,0.0,1200.0,1200.0,1200.0
2026-03-26 18:29:05+00:00,DOWN,0.99,69.87,0.0,69.87,-69.87
2026-03-26 18:29:05+00:00,UP,0.01,0.0,600.0,600.0,600.0
2026-03-26 18:29:15+00:00,DOWN,0.99,72.74,0.0,72.74,-72.74
2026-03-26 18:29:15+00:00,UP,0.01,0.0,700.0,700.0,700.0
2026-03-26 18:29:20+00:00,DOWN,0.99,125.02000000000001,0.0,125.02000000000001,-125.02000000000001
2026-03-26 18:29:20+00:00,UP,0.01,0.0,507.1,507.1,507.1
2026-03-26 18:29:25+00:00,DOWN,0.99,9.51,0.0,9.51,-9.51
2026-03-26 18:29:25+00:00,UP,0.01,0.0,1498.0,1498.0,1498.0
2026-03-26 18:29:35+00:00,DOWN,0.99,2.57,0.0,2.57,-2.57
2026-03-26 18:29:35+00:00,UP,0.01,0.0,101.1,101.1,101.1
2026-03-26 18:29:40+00:00,DOWN,0.99,33.1,0.0,33.1,-33.1
2026-03-26 18:29:40+00:00,UP,0.01,0.0,2000.0,2000.0,2000.0
2026-03-26 18:29:45+00:00,DOWN,0.99,7.04,0.0,7.04,-7.04
2026-03-26 18:29:45+00:00,UP,0.01,0.0,210.0,210.0,210.0
2026-03-26 18:29:50+00:00,DOWN,0.99,34.77,0.0,34.77,-34.77
2026-03-26 18:29:55+00:00,DOWN,0.99,0.09,0.0,0.09,-0.09
2026-03-26 18:29:55+00:00,UP,0.01,0.0,100.0,100.0,100.0
2026-03-26 18:30:00+00:00,DOWN,0.99,18.95,0.0,18.95,-18.95
2026-03-26 18:30:05+00:00,DOWN,0.99,160.62,0.0,160.62,-160.62
2026-03-26 18:30:05+00:00,UP,0.01,0.0,215.0,215.0,215.0
2026-03-26 18:30:10+00:00,DOWN,0.99,298.49,0.0,298.49,-298.49
2026-03-26 18:30:10+00:00,UP,0.01,0.0,1500.0,1500.0,1500.0
2026-03-26 18:30:15+00:00,DOWN,0.99,38.160000000000004,0.0,38.160000000000004,-38.160000000000004
2026-03-26 18:30:20+00:00,DOWN,0.99,20.15,0.0,20.15,-20.15
2026-03-26 18:30:25+00:00,DOWN,0.99,80.22,0.0,80.22,-80.22
2026-03-26 18:30:30+00:00,DOWN,0.99,58.18,0.0,58.18,-58.18
2026-03-26 18:30:35+00:00,DOWN,0.99,3.32,0.0,3.32,-3.32
2026-03-26 18:30:40+00:00,DOWN,0.99,190.53,0.0,190.53,-190.53
2026-03-26 18:30:55+00:00,DOWN,0.99,13.1,0.0,13.1,-13.1
2026-03-26 18:31:05+00:00,DOWN,0.99,17.34,0.0,17.34,-17.34
2026-03-26 18:31:10+00:00,DOWN,0.99,512.86,0.0,512.86,-512.86
2026-03-26 18:31:25+00:00,DOWN,0.99,6.13,0.0,6.13,-6.13
2026-03-26 18:31:30+00:00,DOWN,0.99,156.82,0.0,156.82,-156.82
2026-03-26 18:31:35+00:00,DOWN,0.99,7.21,0.0,7.21,-7.21
2026-03-26 18:31:45+00:00,UP,0.01,0.0,100.0,100.0,100.0
2026-03-26 18:31:50+00:00,DOWN,0.99,10.3,0.0,10.3,-10.3
2026-03-26 18:31:55+00:00,UP,0.01,0.0,100.0,100.0,100.0
